title,url,source_type,relevance_score,date,summary
Terminations of USAID and State Department Programs: Massive Impact for IRC Clients | International Rescue Committee (IRC),https://www.rescue.org/press-release/terminations-usaid-and-state-department-programs-massive-impact-irc-clients,NGO,0.3416666666666667,,"Press Release  Terminations of USAID and State Department Programs: Massive Impact for IRC Clients


New York, NY, February 27, 2025 —  The news yesterday that the US State Department, as part of its review of foreign aid spending, is terminating at least 10,000 USAID and State Department grants and contracts will have a massive impact on clients of the International Rescue Committee (IRC). The termination of these awards will disrupt vital services, including health care, nutrition and other emergency relief, leaving some of the most vulnerable people in the world without services on which they depend for survival. Follow UsAbout the IRCThe International Rescue Committee responds to the world’s worst humanitarian crises, helping to restore health, safety, education, economic wellbeing, and power to people devastated by conflict and disaster. Crisis WatchWho We AreWhere We WorkWhat We DoHow To HelpLatestCareersContact UsDonor HelpCode of ConductEthics HotlineOur efficiency87% Program services7% Management and general6% FundraisingDonateJoin our mailing list
    Get the latest news about the IRC's innovative programs, compelling stories about our clients and how you can make a difference. Press Release  Terminations of USAID and State Department Programs: Massive Impact for IRC Clients

Press Release  Terminations of USAID and State Department Programs: Massive Impact for IRC Clients

Press Release  Terminations of USAID and State Department Programs: Massive Impact for IRC Clients

Press Release  Terminations of USAID and State Department Programs: Massive Impact for IRC Clients

Press Release  Terminations of USAID and State Department Programs: Massive Impact for IRC Clients

Press Release  Terminations of USAID and State Department Programs: Massive Impact for IRC Clients

Press Release  Terminations of USAID and State Department Programs: Massive Impact for IRC Clients

Press Release  Terminations of USAID and State Department Programs: Massive Impact for IRC Clients

Press Release  Terminations of USAID and State Department Programs: Massive Impact for IRC Clients

Press Release

Press Release

New York, NY, February 27, 2025 —  The news yesterday that the US State Department, as part of its review of foreign aid spending, is terminating at least 10,000 USAID and State Department grants and contracts will have a massive impact on clients of the International Rescue Committee (IRC). New York, NY, February 27, 2025 —  The news yesterday that the US State Department, as part of its review of foreign aid spending, is terminating at least 10,000 USAID and State Department grants and contracts will have a massive impact on clients of the International Rescue Committee (IRC). Follow UsAbout the IRCThe International Rescue Committee responds to the world’s worst humanitarian crises, helping to restore health, safety, education, economic wellbeing, and power to people devastated by conflict and disaster. Follow Us

Follow Us

Follow Us

About the IRCThe International Rescue Committee responds to the world’s worst humanitarian crises, helping to restore health, safety, education, economic wellbeing, and power to people devastated by conflict and disaster. About the IRCThe International Rescue Committee responds to the world’s worst humanitarian crises, helping to restore health, safety, education, economic wellbeing, and power to people devastated by conflict and disaster. About the IRCThe International Rescue Committee responds to the world’s worst humanitarian crises, helping to restore health, safety, education, economic wellbeing, and power to people devastated by conflict and disaster. About the IRC

The International Rescue Committee responds to the world’s worst humanitarian crises, helping to restore health, safety, education, economic wellbeing, and power to people devastated by conflict and disaster. The International Rescue Committee responds to the world’s worst humanitarian crises, helping to restore health, safety, education, economic wellbeing, and power to people devastated by conflict and disaster. Crisis WatchWho We AreWhere We WorkWhat We DoHow To HelpLatestCareersContact UsDonor HelpCode of ConductEthics HotlineOur efficiency87% Program services7% Management and general6% FundraisingDonateJoin our mailing list
    Get the latest news about the IRC's innovative programs, compelling stories about our clients and how you can make a difference. Crisis WatchWho We AreWhere We WorkWhat We DoHow To HelpLatestCareersContact UsDonor HelpCode of ConductEthics HotlineOur efficiency87% Program services7% Management and general6% FundraisingDonateJoin our mailing list
    Get the latest news about the IRC's innovative programs, compelling stories about our clients and how you can make a difference. SubscribeFollow Us

Crisis WatchWho We AreWhere We WorkWhat We DoHow To HelpLatestCareersContact UsDonor HelpCode of ConductEthics HotlineOur efficiency87% Program services7% Management and general6% FundraisingDonateJoin our mailing list
    Get the latest news about the IRC's innovative programs, compelling stories about our clients and how you can make a difference. SubscribeFollow Us

Crisis WatchWho We AreWhere We WorkWhat We DoHow To HelpLatestCareersContact UsDonor HelpCode of ConductEthics Hotline

Crisis Watch

Crisis Watch

Who We AreWhere We WorkWhat We DoHow To HelpLatestCareersContact UsDonor HelpCode of ConductEthics Hotline

Our efficiency87% Program services7% Management and general6% FundraisingDonate

Our efficiency87% Program services7% Management and general6% FundraisingDonate

Our efficiency87% Program services7% Management and general6% FundraisingDonate

Our efficiency

